template,frequency
The [X] canted the tactics that [Y],1
The [X] tried in edges that to creep [Y],1
The [X] wondered in depression that [Y],1
The [X] went the roof that [Y],1
The [X] hoisted him than [Y],1
The [X] agreed a sample that [Y],1
The [X] thought about difference that was make [Y],1
The [X] noticed an mount that [Y],1
The [X] got the sight that [Y],1
The [X] poured himself and [Y],1
The [X] remembered this instruction that [Y],1
The [X] spent the attention that [Y],1
The [X] experienced that [Y],1
The [X] fell through flat that [Y],1
The [X] heard because [Y],1
The [X] was able [Y],1
The [X] wished that [Y],1
The [X] checked the stiffeners that [Y],1
The [X] shoved the warning that [Y],1
The [X] bought a can that [Y],1
The [X] was unaware that [Y],1
The [X] put both hands that [Y],1
The [X] heard every word that [Y],1
The [X] made to room that [Y],1
The [X] heard of blackouts that [Y],1
The [X] kicked horse and [Y],1
The [X] thought about thousands that [Y],1
The [X] tried to go but [Y],1
The [X] was expensive and [Y],1
The [X] attracted newsmen as [Y],1
The [X] allowed an what that [Y],1
The [X] finished on night that [Y],1
The [X] fished wallet [Y],1
The [X] carried money [Y],1
The [X] discovered the loss that [Y],1
The [X] nodded as [Y],1
The [X] heard a word that [Y],1
The [X] had open and [Y],1
The [X] thought for minutes that [Y],1
The [X] starred what [Y],1
The [X] heard a diversion that [Y],1
The [X] was that [Y],1
The [X] knocked chair as [Y],1
The [X] asked a wife that [Y],1
The [X] told what as [Y],1
The [X] sunk third but [Y],1
The [X] bought a liter that [Y],1
The [X] identified the instant that [Y],1
The [X] was old and [Y],1
The [X] smiled to himself that [Y],1
The [X] won no money that [Y],1
The [X] gave the smile that [Y],1
The [X] watched until [Y],1
The [X] had a bit that [Y],1
The [X] heard of horse that [Y],1
The [X] rationalized desire and [Y],1
The [X] afforded it [Y],1
The [X] admitted what that [Y],1
The [X] shifted ashamed and [Y],1
The [X] seemed a that that [Y],1
The [X] entered Magic and [Y],1
The [X] trusted him and [Y],1
The [X] watched through binoculars that [Y],1
The [X] felt breathless as [Y],1
The [X] understood the what that [Y],1
The [X] filled her [Y],1
The [X] lied down ward that [Y],1
The [X] heard eyes because [Y],1
The [X] swallowed lip and [Y],1
The [X] saw the shame that [Y],1
The [X] listened to silence that [Y],1
The [X] whistled while [Y],1
The [X] admitted the feeling that [Y],1
The [X] supported them and [Y],1
The [X] knew him and [Y],1
The [X] saw that [Y],1
The [X] learnt the horses that [Y],1
The [X] knew mysterious and [Y],1
The [X] was sure but [Y],1
The [X] discerned the winner that [Y],1
The [X] wondered if [Y],1
The [X] smiled a talisman that [Y],1
The [X] imagined voice if [Y],1
The [X] imagined it if [Y],1
The [X] told her that [Y],1
The [X] persuaded her and [Y],1
The [X] thought of information that [Y],1
The [X] had a day that [Y],1
The [X] said weird but [Y],1
The [X] tried round [Y],1
The [X] thought attention but [Y],1
The [X] telephoned the agency that [Y],1
The [X] bought the old that [Y],1
The [X] said if [Y],1
The [X] payed him and [Y],1
The [X] said as [Y],1
The [X] asked him if [Y],1
The [X] responded a citizen that [Y],1
The [X] telephoned Wichelsea [Y],1
The [X] afforded no more that [Y],1
The [X] said No address that [Y],1
The [X] sat a desperation that [Y],1
The [X] said give number and [Y],1
The [X] wrote the number that [Y],1
The [X] saw a man that [Y],1
The [X] pushed buttons that [Y],1
The [X] wept with relief that [Y],1
The [X] wrote to Green that [Y],1
The [X] gave the letter that [Y],1
The [X] felt secure because [Y],1
The [X] made that [Y],1
The [X] borrowed much and [Y],1
The [X] knew than [Y],1
The [X] was the nature [Y],1
The [X] insisted that [Y],1
The [X] got things if [Y],1
The [X] achieved the recognition that [Y],1
The [X] tried to get [Y],1
The [X] chose to defended although [Y],1
The [X] looked to day that [Y],1
The [X] commented willing and [Y],1
The [X] decided a horse that [Y],1
The [X] asked any news if [Y],1
The [X] said to Jules that [Y],1
The [X] thought what and [Y],1
The [X] robbed people but [Y],1
The [X] needed that [Y],1
The [X] walked to him that [Y],1
The [X] knew in minutes that [Y],1
The [X] saw the horse that [Y],1
The [X] leaved the hanging that [Y],1
The [X] heard the news that [Y],1
The [X] understood _ that [Y],1
The [X] was alone as [Y],1
The [X] beared the congratulations that [Y],1
The [X] curst wife and [Y],1
The [X] died that [Y],1
The [X] parked car as [Y],1
The [X] was popular because [Y],1
The [X] sat a colors that [Y],1
The [X] excused absence as [Y],1
The [X] demanded the matter and [Y],1
The [X] beared ask what [Y],1
The [X] afforded expenses if [Y],1
The [X] was due and [Y],1
The [X] told her and [Y],1
The [X] wanted a shower that [Y],1
The [X] was aware and [Y],1
The [X] smiled at jockey that [Y],1
The [X] thought the jockey that [Y],1
The [X] telephoned her and [Y],1
The [X] was buy himself but [Y],1
The [X] gave an inch that [Y],1
The [X] let himself that [Y],1
The [X] said an fear that [Y],1
The [X] was sure [Y],1
The [X] drowned in debt that [Y],1
The [X] dried tears and [Y],1
The [X] was important [Y],1
The [X] was the complex [Y],1
The [X] ceased to cry [Y],1
The [X] ceased show feelings although [Y],1
The [X] told me that [Y],1
The [X] lied did eat and [Y],1
The [X] turned wheel [Y],1
The [X] had no idea that [Y],1
The [X] required if [Y],1
The [X] made a model that [Y],1
The [X] was a plan that [Y],1
The [X] relived a time that [Y],1
The [X] was likely [Y],1
The [X] talked and [Y],1
The [X] unawared both and [Y],1
The [X] was mistaken that [Y],1
The [X] began make excursions and [Y],1
The [X] continued an part that [Y],1
The [X] wrote of baboon that [Y],1
The [X] was old [Y],1
The [X] described a party that [Y],1
The [X] did a deal that [Y],1
The [X] behaved in presence that [Y],1
The [X] ran that [Y],1
The [X] was dependent but [Y],1
The [X] became alarmed [Y],1
The [X] clung if [Y],1
The [X] became whiny as [Y],1
The [X] arose unless [Y],1
The [X] played for periods that [Y],1
The [X] was content and [Y],1
The [X] was different [Y],1
The [X] continued towards people that to behave [Y],1
The [X] looked for moments that [Y],1
The [X] opened mouth as [Y],1
The [X] sucked bottle [Y],1
The [X] searched the face that [Y],1
The [X] smiled and [Y],1
The [X] showed smiling as [Y],1
The [X] smiled at sight that [Y],1
The [X] smiled at face that [Y],1
The [X] was fond [Y],1
The [X] was supposed weak that [Y],1
The [X] seemed a infant that [Y],1
The [X] became able [Y],1
The [X] anchored argument [Y],1
The [X] was unlikely and [Y],1
The [X] was the what that [Y],1
The [X] was occasions [Y],1
The [X] felt available that [Y],1
The [X] came to him that [Y],1
The [X] seemed that [Y],1
The [X] replied If [Y],1
The [X] sought proximity as [Y],1
The [X] hopped the war that [Y],1
The [X] was aware that [Y],1
The [X] wanted the obligations that [Y],1
The [X] had advantages [Y],1
The [X] pushed the power that [Y],1
The [X] wanted nothing [Y],1
The [X] endorsed the strategy that [Y],1
The [X] was open that [Y],1
The [X] survived a challenge that [Y],1
The [X] introduced cut while [Y],1
The [X] released a video that [Y],1
The [X] knew care [Y],1
The [X] asked wife as [Y],1
The [X] layed positions and [Y],1
The [X] came the deficit that [Y],1
The [X] wifed him and [Y],1
