template,frequency
The [X] noted a sum that [Y],1
The [X] was wrong because [Y],1
The [X] was a model and [Y],1
The [X] pictured within years that [Y],1
The [X] said in video that [Y],1
The [X] ailed from illness that [Y],1
The [X] said a mistake that [Y],1
The [X] served as Director that [Y],1
The [X] noted a sort that [Y],1
The [X] downplayed any notion that [Y],1
The [X] landed the win that [Y],1
The [X] believed without perseverance that to do [Y],1
The [X] was a experience if [Y],1
The [X] was a filmmaker [Y],1
The [X] won an apprenticeship that [Y],1
The [X] occurred that [Y],1
The [X] caused a stir that [Y],1
The [X] told stories [Y],1
The [X] represented District [Y],1
The [X] served for years that [Y],1
The [X] served the which that [Y],1
The [X] endured profiling and [Y],1
The [X] leaved the Reservation that [Y],1
The [X] found that [Y],1
The [X] found a education that [Y],1
The [X] found the type that [Y],1
The [X] helped some friendship that [Y],1
The [X] fitted into school that [Y],1
The [X] was the Miller after [Y],1
The [X] bowed out football that [Y],1
The [X] had points and [Y],1
The [X] checked in time that [Y],1
The [X] had an motion that [Y],1
The [X] looked comfortable and [Y],1
The [X] needed some confidence that [Y],1
The [X] went that minutes that [Y],1
The [X] played minutes and [Y],1
The [X] started the reward because [Y],1
The [X] returned this one that [Y],1
The [X] was undone and [Y],1
The [X] returned to Trek that [Y],1
The [X] allowed since [Y],1
The [X] considered that [Y],1
The [X] hurt ankle [Y],1
The [X] began suffering pain after [Y],1
The [X] was a down [Y],1
The [X] submitted the proposal that [Y],1
The [X] was the one while [Y],1
The [X] had a game that [Y],1
The [X] missed match and [Y],1
The [X] cleared the old that [Y],1
The [X] pressed on rights that [Y],1
The [X] saw success [Y],1
The [X] was a part as [Y],1
The [X] had a host that [Y],1
The [X] told the Scene that [Y],1
The [X] promised the Scene that [Y],1
The [X] worked with numbers that [Y],1
The [X] worked in finance that [Y],1
The [X] was an artist [Y],1
The [X] began paint pictures and [Y],1
The [X] beguiled herself but [Y],1
The [X] held it and [Y],1
The [X] fled down corridor that [Y],1
The [X] fathomed that [Y],1
The [X] turned that [Y],1
The [X] turned to Headmaster that [Y],1
The [X] verbalised thoughts [Y],1
The [X] thought him [Y],1
The [X] was above anger that [Y],1
The [X] continued that [Y],1
The [X] needed to know [Y],1
The [X] agreed sure [Y],1
The [X] was minded nor [Y],1
The [X] gazed towards curtains that [Y],1
The [X] continued Because [Y],1
The [X] said though [Y],1
The [X] had a who [Y],1
The [X] knew the answer that [Y],1
The [X] morphed into twenty that [Y],1
The [X] walked through square that [Y],1
The [X] changed since [Y],1
The [X] bobbed as [Y],1
The [X] explained something that [Y],1
The [X] was beyond wizard that [Y],1
The [X] was jittery [Y],1
The [X] put a wand that [Y],1
The [X] shrugged place though [Y],1
The [X] got the information that [Y],1
The [X] adopted a position that [Y],1
The [X] stood over handle that [Y],1
The [X] felt the flesh that [Y],1
The [X] asked to drawl that [Y],1
The [X] thought older [Y],1
The [X] betrayed surprise and [Y],1
The [X] was privy as [Y],1
The [X] was wrath and [Y],1
The [X] bought a parchment that [Y],1
The [X] stuck the one and [Y],1
The [X] came every confirmation that [Y],1
The [X] felt the leak that [Y],1
The [X] realised in time that [Y],1
The [X] told detectives [Y],1
The [X] claimed on way that [Y],1
The [X] noticed a pair that [Y],1
The [X] returned some shows that [Y],1
The [X] had things [Y],1
The [X] published it [Y],1
The [X] arrived in England that [Y],1
The [X] loved paintings and [Y],1
The [X] spent much as [Y],1
The [X] retired and [Y],1
The [X] built himself [Y],1
The [X] mystified all and [Y],1
The [X] played the media that [Y],1
The [X] faded and [Y],1
The [X] announced Part as [Y],1
The [X] invoked Colossians [Y],1
The [X] was the President but [Y],1
The [X] was a hero and [Y],1
The [X] came from University that [Y],1
The [X] died in accident that [Y],1
The [X] took a home that [Y],1
The [X] made the move that [Y],1
The [X] mentioned the program that [Y],1
The [X] was lucky after [Y],1
The [X] said at side that [Y],1
The [X] chose exclude Rove [Y],1
The [X] allowed Axelrod though [Y],1
The [X] believed that [Y],1
The [X] came from Oslo that [Y],1
The [X] was the architect [Y],1
The [X] ranked but [Y],1
The [X] got into games that [Y],1
The [X] had a guard but [Y],1
The [X] played for Pitt that [Y],1
The [X] played about type that [Y],1
The [X] said a that that [Y],1
The [X] fired through window that [Y],1
The [X] had an class that [Y],1
The [X] got because [Y],1
The [X] dealt with problems that [Y],1
The [X] stated that [Y],1
The [X] entered the Forces that [Y],1
The [X] remembered that [Y],1
The [X] moved to Erie that [Y],1
The [X] fell ill and [Y],1
The [X] had animals [Y],1
The [X] looked at himself that [Y],1
The [X] wanted a move that [Y],1
The [X] declined an invitation that [Y],1
The [X] was the version that [Y],1
The [X] characterised VAT as [Y],1
The [X] was a fashion and [Y],1
The [X] resided friends and [Y],1
The [X] amassed photos before [Y],1
The [X] asked Cotton if [Y],1
The [X] leant that [Y],1
The [X] hopped the barrier that [Y],1
The [X] sat viral [Y],1
The [X] inked a deal that [Y],1
The [X] said the place that [Y],1
The [X] spoke that [Y],1
The [X] stressed on Wednesday that [Y],1
The [X] attended Program and [Y],1
The [X] wanted a berth that [Y],1
The [X] silenced him and [Y],1
The [X] clutched the ball that [Y],1
The [X] named ministers [Y],1
The [X] emphasized despite stress that [Y],1
The [X] was calm but [Y],1
The [X] recounted a detail that [Y],1
The [X] knew Hosts that [Y],1
The [X] asked negative and [Y],1
The [X] played with arm that [Y],1
The [X] saw the guy that [Y],1
The [X] let as [Y],1
The [X] was in dilemma that [Y],1
The [X] forgot that [Y],1
The [X] was cool until [Y],1
The [X] used Twitter [Y],1
The [X] intimated that [Y],1
The [X] achieved the dream that [Y],1
The [X] travelled to waters that [Y],1
The [X] payed him [Y],1
The [X] told JTA that [Y],1
The [X] grew magazines and [Y],1
The [X] impressed me [Y],1
The [X] was pleased [Y],1
The [X] tilted head [Y],1
The [X] knew it as [Y],1
The [X] looked at her that [Y],1
The [X] felt as [Y],1
The [X] inaugurated cabinet after [Y],1
The [X] served as assistant that [Y],1
The [X] wanted about evil that to speak [Y],1
The [X] tried cut holes [Y],1
The [X] lined it [Y],1
The [X] explained what and [Y],1
The [X] saw what [Y],1
The [X] noticed it until [Y],1
The [X] took care [Y],1
The [X] complained that [Y],1
The [X] wondered the perception that [Y],1
The [X] stomped in huff that [Y],1
The [X] discovered enthralled and [Y],1
The [X] camped the message that [Y],1
The [X] beared ecstatic as [Y],1
The [X] hunkerred and [Y],1
The [X] said as [Y],1
The [X] said in corner that [Y],1
The [X] gave a cicada that [Y],1
The [X] was involved in conflict that [Y],1
The [X] explained brutal that [Y],1
The [X] elaborated what kind that [Y],1
The [X] decided one that [Y],1
The [X] was entranced [Y],1
The [X] wanted the friends that [Y],1
The [X] saw the game that [Y],1
The [X] wanted a criticism that [Y],1
The [X] wrote about Alice that [Y],1
The [X] was interested and [Y],1
The [X] was interested though [Y],1
The [X] was aware [Y],1
The [X] visited the Museum that [Y],1
The [X] tended resignation [Y],1
The [X] worked as advocate that [Y],1
The [X] sought settlements [Y],1
The [X] was ineligible if [Y],1
The [X] indicated whether [Y],1
The [X] liked a shot and [Y],1
The [X] killed off advantage that [Y],1
The [X] flashed that grin that [Y],1
The [X] came to agreement that [Y],1
The [X] knew what and [Y],1
The [X] was smooth [Y],1
The [X] continued a team that [Y],1
The [X] was a timeline and [Y],1
The [X] was resourceful than [Y],1
The [X] narrated the story that [Y],1
The [X] stirred a nest that [Y],1
The [X] played in games that [Y],1
The [X] shared an anecdote that [Y],1
The [X] was a candidate [Y],1
The [X] said because me that [Y],1
The [X] felt guilty that [Y],1
The [X] said to her that [Y],1
The [X] wanted a system that [Y],1
The [X] was instrumental and [Y],1
The [X] had no poles that [Y],1
The [X] finished after [Y],1
The [X] seemed the pressure that [Y],1
The [X] started career [Y],1
The [X] was reflective and [Y],1
The [X] bantered an poise that [Y],1
The [X] smiled with Manchin that [Y],1
The [X] foundationed Until [Y],1
The [X] was a mayor and [Y],1
The [X] spoke to daughter that [Y],1
The [X] adjusted it if [Y],1
The [X] cut arteries and [Y],1
The [X] lost life while [Y],1
The [X] flew with mother that [Y],1
The [X] had them and [Y],1
The [X] went have foot and [Y],1
The [X] checked an outlet that [Y],1
The [X] encountered some but [Y],1
The [X] was tall before [Y],1
The [X] wanted the ability that [Y],1
The [X] thought follow it as [Y],1
The [X] wanted with satisfaction that to roar [Y],1
The [X] was any doubt that [Y],1
The [X] remembered the passage that [Y],1
The [X] posted the type that [Y],1
The [X] softened matter [Y],1
The [X] concluded the spirit that [Y],1
The [X] owned a LX that [Y],1
The [X] attentioned of audience that [Y],1
The [X] took course [Y],1
The [X] cared for Judy that [Y],1
The [X] realised that [Y],1
The [X] recalled the lunch that [Y],1
The [X] said to people that [Y],1
The [X] was from standpoint that [Y],1
The [X] indicated that [Y],1
The [X] was a journalist before [Y],1
The [X] came the media that [Y],1
The [X] accepted the invitation that [Y],1
The [X] resigned commission so [Y],1
The [X] lindberghed this Lindbergh that [Y],1
The [X] told reporters that [Y],1
The [X] deadpanned that [Y],1
The [X] agreed make speeches that [Y],1
The [X] joined the committee that [Y],1
The [X] decided a speech that [Y],1
The [X] had offers [Y],1
The [X] wrote doubt that [Y],1
The [X] apologized for address that [Y],1
The [X] expressed what [Y],1
The [X] was an founder but [Y],1
The [X] realized after years that [Y],1
The [X] threatened Linder because [Y],1
The [X] came us that [Y],1
The [X] gave a moments that [Y],1
The [X] was the killer because [Y],1
The [X] was the crew that [Y],1
The [X] was a reporter and [Y],1
The [X] got as reporter that [Y],1
The [X] decided close it and [Y],1
The [X] considered to heresy that [Y],1
The [X] agreed see her but [Y],1
The [X] earned a laude that [Y],1
The [X] helped for certification that [Y],1
The [X] was the founder and [Y],1
The [X] conceded that [Y],1
The [X] demonstrated that [Y],1
The [X] objected the offenses that [Y],1
The [X] had that [Y],1
The [X] believed the Nazis that [Y],1
The [X] had adaptable like [Y],1
The [X] had a history that [Y],1
The [X] made no secret that [Y],1
The [X] blamed the unrest that [Y],1
The [X] described himself [Y],1
The [X] landed himself after [Y],1
The [X] accepted the reason that [Y],1
The [X] uploaded a video that [Y],1
The [X] was proud if [Y],1
The [X] began career [Y],1
The [X] summed it [Y],1
The [X] grew food although [Y],1
The [X] sung a instrument that [Y],1
The [X] played able after [Y],1
The [X] made money that [Y],1
The [X] sent jet if [Y],1
The [X] rose to prominence that [Y],1
The [X] looked handy but [Y],1
The [X] picked on that that [Y],1
The [X] spent a couple that [Y],1
The [X] claimed that [Y],1
The [X] enjoyed tea and [Y],1
The [X] won the appointment that [Y],1
The [X] mirrored the joy that [Y],1
The [X] made headlines [Y],1
The [X] informed Arellano that [Y],1
The [X] lifed in town that [Y],1
The [X] liked to write but [Y],1
The [X] behaved in game that [Y],1
The [X] worked with hands that [Y],1
The [X] seemed deceptive [Y],1
The [X] told us [Y],1
The [X] was a entrepreneur before [Y],1
The [X] used knowledge and [Y],1
The [X] spanned organisations and [Y],1
The [X] took responsibility [Y],1
The [X] wrote in statement that [Y],1
The [X] added for sometime that has apologize [Y],1
The [X] said to hospital that [Y],1
The [X] promised teacher that [Y],1
The [X] declared that [Y],1
The [X] earned in 1971 that [Y],1
The [X] had explain himself but [Y],1
The [X] was talented [Y],1
The [X] expressed confidence [Y],1
The [X] emphasized that [Y],1
The [X] was 33 [Y],1
The [X] was 27 [Y],1
The [X] said and [Y],1
The [X] said the wreck [Y],1
The [X] offered the dispute that [Y],1
The [X] completed degrees and [Y],1
The [X] was a developer [Y],1
The [X] was a millionaire [Y],1
The [X] went pleased [Y],1
The [X] put scanner [Y],1
The [X] chuckled for time that [Y],1
The [X] told The obliteration [Y],1
The [X] tried salvage what [Y],1
The [X] believed close [Y],1
The [X] was funny as [Y],1
The [X] told the story that [Y],1
The [X] served as City that [Y],1
The [X] looked that [Y],1
The [X] received degrees and [Y],1
The [X] was blind and [Y],1
The [X] worked a experience that [Y],1
The [X] told of experiences that [Y],1
The [X] was empathetic [Y],1
The [X] was a back but [Y],1
The [X] played snaps but [Y],1
The [X] declared of board that [Y],1
The [X] returned from sabbatical that [Y],1
The [X] confirmed that [Y],1
The [X] responded that [Y],1
The [X] denied on website that [Y],1
The [X] criticized the action that [Y],1
The [X] was a junior [Y],1
The [X] said on News that [Y],1
The [X] refused the minefield that [Y],1
The [X] was a marvel [Y],1
The [X] made the system that [Y],1
The [X] said do it that [Y],1
The [X] argued life that [Y],1
The [X] said much [Y],1
The [X] was about [Y],1
The [X] had a twist that [Y],1
The [X] attended School [Y],1
The [X] said to vow [Y],1
